colour	fill	x	y	group	showSelected1
#FE0B00	#FE0B00	308.620689655172	450	1	5
#FE0B00	#FE0B00	307.875391876229	453.506350371343	1	5
#FE0B00	#FE0B00	305.768367296197	456.406420909288	1	5
#FE0B00	#FE0B00	302.663939606681	458.19876307151	1	5
#FE0B00	#FE0B00	299.098892558038	458.573464615244	1	5
#FE0B00	#FE0B00	295.689655172414	457.465736239521	1	5
#FE0B00	#FE0B00	293.025715565733	455.067114243901	1	5
#FE0B00	#FE0B00	291.567693097122	451.792342162222	1	5
#FE0B00	#FE0B00	291.567693097122	448.207657837778	1	5
#FE0B00	#FE0B00	293.025715565733	444.932885756099	1	5
#FE0B00	#FE0B00	295.689655172414	442.534263760479	1	5
#FE0B00	#FE0B00	299.098892558038	441.426535384756	1	5
#FE0B00	#FE0B00	302.663939606681	441.80123692849	1	5
#FE0B00	#FE0B00	305.768367296197	443.593579090712	1	5
#FE0B00	#FE0B00	307.875391876229	446.493649628657	1	5
#FE0B00	#FE0B00	308.620689655172	450	1	5
#FD0E00	#FD0E00	308.620689655172	450	1	6
#FD0E00	#FD0E00	307.875391876229	453.506350371343	1	6
#FD0E00	#FD0E00	305.768367296197	456.406420909288	1	6
#FD0E00	#FD0E00	302.663939606681	458.19876307151	1	6
#FD0E00	#FD0E00	299.098892558038	458.573464615244	1	6
#FD0E00	#FD0E00	295.689655172414	457.465736239521	1	6
#FD0E00	#FD0E00	293.025715565733	455.067114243901	1	6
#FD0E00	#FD0E00	291.567693097122	451.792342162222	1	6
#FD0E00	#FD0E00	291.567693097122	448.207657837778	1	6
#FD0E00	#FD0E00	293.025715565733	444.932885756099	1	6
#FD0E00	#FD0E00	295.689655172414	442.534263760479	1	6
#FD0E00	#FD0E00	299.098892558038	441.426535384756	1	6
#FD0E00	#FD0E00	302.663939606681	441.80123692849	1	6
#FD0E00	#FD0E00	305.768367296197	443.593579090712	1	6
#FD0E00	#FD0E00	307.875391876229	446.493649628657	1	6
#FD0E00	#FD0E00	308.620689655172	450	1	6
#FD1100	#FD1100	308.620689655172	450	1	7
#FD1100	#FD1100	307.875391876229	453.506350371343	1	7
#FD1100	#FD1100	305.768367296197	456.406420909288	1	7
#FD1100	#FD1100	302.663939606681	458.19876307151	1	7
#FD1100	#FD1100	299.098892558038	458.573464615244	1	7
#FD1100	#FD1100	295.689655172414	457.465736239521	1	7
#FD1100	#FD1100	293.025715565733	455.067114243901	1	7
#FD1100	#FD1100	291.567693097122	451.792342162222	1	7
#FD1100	#FD1100	291.567693097122	448.207657837778	1	7
#FD1100	#FD1100	293.025715565733	444.932885756099	1	7
#FD1100	#FD1100	295.689655172414	442.534263760479	1	7
#FD1100	#FD1100	299.098892558038	441.426535384756	1	7
#FD1100	#FD1100	302.663939606681	441.80123692849	1	7
#FD1100	#FD1100	305.768367296197	443.593579090712	1	7
#FD1100	#FD1100	307.875391876229	446.493649628657	1	7
#FD1100	#FD1100	308.620689655172	450	1	7
#FD1400	#FD1400	308.620689655172	450	1	8
#FD1400	#FD1400	307.875391876229	453.506350371343	1	8
#FD1400	#FD1400	305.768367296197	456.406420909288	1	8
#FD1400	#FD1400	302.663939606681	458.19876307151	1	8
#FD1400	#FD1400	299.098892558038	458.573464615244	1	8
#FD1400	#FD1400	295.689655172414	457.465736239521	1	8
#FD1400	#FD1400	293.025715565733	455.067114243901	1	8
#FD1400	#FD1400	291.567693097122	451.792342162222	1	8
#FD1400	#FD1400	291.567693097122	448.207657837778	1	8
#FD1400	#FD1400	293.025715565733	444.932885756099	1	8
#FD1400	#FD1400	295.689655172414	442.534263760479	1	8
#FD1400	#FD1400	299.098892558038	441.426535384756	1	8
#FD1400	#FD1400	302.663939606681	441.80123692849	1	8
#FD1400	#FD1400	305.768367296197	443.593579090712	1	8
#FD1400	#FD1400	307.875391876229	446.493649628657	1	8
#FD1400	#FD1400	308.620689655172	450	1	8
#FD1700	#FD1700	308.620689655172	450	1	9
#FD1700	#FD1700	307.875391876229	453.506350371343	1	9
#FD1700	#FD1700	305.768367296197	456.406420909288	1	9
#FD1700	#FD1700	302.663939606681	458.19876307151	1	9
#FD1700	#FD1700	299.098892558038	458.573464615244	1	9
#FD1700	#FD1700	295.689655172414	457.465736239521	1	9
#FD1700	#FD1700	293.025715565733	455.067114243901	1	9
#FD1700	#FD1700	291.567693097122	451.792342162222	1	9
#FD1700	#FD1700	291.567693097122	448.207657837778	1	9
#FD1700	#FD1700	293.025715565733	444.932885756099	1	9
