colour	fill	x	y	group
#000000	#FFFFFF	106.034482758621	37.5	105
#000000	#FFFFFF	113.793103448276	62.5	105
#000000	#FFFFFF	121.551724137931	37.5	105
#000000	#FFFFFF	106.034482758621	37.5	105
#000000	#FFFFFF	106.034482758621	104.166666666667	106
#000000	#FFFFFF	113.793103448276	129.166666666667	106
#000000	#FFFFFF	121.551724137931	104.166666666667	106
#000000	#FFFFFF	106.034482758621	104.166666666667	106
#000000	#FFFFFF	106.034482758621	170.833333333333	107
#000000	#FFFFFF	113.793103448276	195.833333333333	107
#000000	#FFFFFF	121.551724137931	170.833333333333	107
#000000	#FFFFFF	106.034482758621	170.833333333333	107
#000000	#FFFFFF	126.724137931034	4.16666666666667	108
#000000	#FFFFFF	134.48275862069	29.1666666666667	108
#000000	#FFFFFF	142.241379310345	4.16666666666667	108
#000000	#FFFFFF	126.724137931034	4.16666666666667	108
#000000	#FFFFFF	126.724137931034	70.8333333333333	109
#000000	#FFFFFF	134.48275862069	95.8333333333333	109
#000000	#FFFFFF	142.241379310345	70.8333333333333	109
#000000	#FFFFFF	126.724137931034	70.8333333333333	109
#000000	#FFFFFF	126.724137931034	137.5	110
#000000	#FFFFFF	134.48275862069	162.5	110
#000000	#FFFFFF	142.241379310345	137.5	110
#000000	#FFFFFF	126.724137931034	137.5	110
#000000	#FFFFFF	126.724137931034	204.166666666667	111
#000000	#FFFFFF	134.48275862069	229.166666666667	111
#000000	#FFFFFF	142.241379310345	204.166666666667	111
#000000	#FFFFFF	126.724137931034	204.166666666667	111
#000000	#FFFFFF	147.413793103448	37.5	112
#000000	#FFFFFF	155.172413793103	62.5	112
#000000	#FFFFFF	162.931034482759	37.5	112
#000000	#FFFFFF	147.413793103448	37.5	112
#000000	#FFFFFF	147.413793103448	104.166666666667	113
#000000	#FFFFFF	155.172413793103	129.166666666667	113
#000000	#FFFFFF	162.931034482759	104.166666666667	113
#000000	#FFFFFF	147.413793103448	104.166666666667	113
#000000	#FFFFFF	147.413793103448	170.833333333333	114
#000000	#FFFFFF	155.172413793103	195.833333333333	114
#000000	#FFFFFF	162.931034482759	170.833333333333	114
#000000	#FFFFFF	147.413793103448	170.833333333333	114
#000000	#FFFFFF	147.413793103448	237.5	115
#000000	#FFFFFF	155.172413793103	262.5	115
#000000	#FFFFFF	162.931034482759	237.5	115
#000000	#FFFFFF	147.413793103448	237.5	115
#000000	#FFFFFF	168.103448275862	4.16666666666667	116
#000000	#FFFFFF	175.862068965517	29.1666666666667	116
#000000	#FFFFFF	183.620689655172	4.16666666666667	116
#000000	#FFFFFF	168.103448275862	4.16666666666667	116
#000000	#FFFFFF	168.103448275862	70.8333333333333	117
#000000	#FFFFFF	175.862068965517	95.8333333333333	117
#000000	#FFFFFF	183.620689655172	70.8333333333333	117
#000000	#FFFFFF	168.103448275862	70.8333333333333	117
#000000	#FFFFFF	168.103448275862	137.5	118
#000000	#FFFFFF	175.862068965517	162.5	118
#000000	#FFFFFF	183.620689655172	137.5	118
#000000	#FFFFFF	168.103448275862	137.5	118
#000000	#FFFFFF	168.103448275862	204.166666666667	119
#000000	#FFFFFF	175.862068965517	229.166666666667	119
#000000	#FFFFFF	183.620689655172	204.166666666667	119
#000000	#FFFFFF	168.103448275862	204.166666666667	119
#000000	#FFFFFF	168.103448275862	270.833333333333	120
#000000	#FFFFFF	175.862068965517	295.833333333333	120
#000000	#FFFFFF	183.620689655172	270.833333333333	120
#000000	#FFFFFF	168.103448275862	270.833333333333	120
#000000	#FFFFFF	188.793103448276	37.5	2
#000000	#FFFFFF	196.551724137931	62.5	2
#000000	#FFFFFF	204.310344827586	37.5	2
#000000	#FFFFFF	188.793103448276	37.5	2
#000000	#FFFFFF	188.793103448276	104.166666666667	3
#000000	#FFFFFF	196.551724137931	129.166666666667	3
#000000	#FFFFFF	204.310344827586	104.166666666667	3
#000000	#FFFFFF	188.793103448276	104.166666666667	3
#000000	#FFFFFF	188.793103448276	170.833333333333	4
#000000	#FFFFFF	196.551724137931	195.833333333333	4
#000000	#FFFFFF	204.310344827586	170.833333333333	4
#000000	#FFFFFF	188.793103448276	170.833333333333	4
#000000	#FFFFFF	188.793103448276	237.5	5
#000000	#FFFFFF	196.551724137931	262.5	5
#000000	#FFFFFF	204.310344827586	237.5	5
#000000	#FFFFFF	188.793103448276	237.5	5
#000000	#FFFFFF	188.793103448276	304.166666666667	1
#000000	#FFFFFF	196.551724137931	329.166666666667	1
#000000	#FFFFFF	204.310344827586	304.166666666667	1
#000000	#FFFFFF	188.793103448276	304.166666666667	1
#000000	#FFFFFF	209.48275862069	4.16666666666667	7
#000000	#FFFFFF	217.241379310345	29.1666666666667	7
#000000	#FFFFFF	225	4.16666666666667	7
#000000	#FFFFFF	209.48275862069	4.16666666666667	7
#000000	#FFFFFF	209.48275862069	70.8333333333333	9
#000000	#FFFFFF	217.241379310345	95.8333333333333	9
#000000	#FFFFFF	225	70.8333333333333	9
#000000	#FFFFFF	209.48275862069	70.8333333333333	9
#000000	#FFFFFF	209.48275862069	137.5	10
#000000	#FFFFFF	217.241379310345	162.5	10
#000000	#FFFFFF	225	137.5	10
#000000	#FFFFFF	209.48275862069	137.5	10
#000000	#FFFFFF	209.48275862069	204.166666666667	11
#000000	#FFFFFF	217.241379310345	229.166666666667	11
#000000	#FFFFFF	225	204.166666666667	11
#000000	#FFFFFF	209.48275862069	204.166666666667	11
#000000	#FFFFFF	209.48275862069	270.833333333333	12
#000000	#FFFFFF	217.241379310345	295.833333333333	12
#000000	#FFFFFF	225	270.833333333333	12
#000000	#FFFFFF	209.48275862069	270.833333333333	12
#000000	#FFFFFF	209.48275862069	337.5	8
#000000	#FFFFFF	217.241379310345	362.5	8
#000000	#FFFFFF	225	337.5	8
#000000	#FFFFFF	209.48275862069	337.5	8
#000000	#FFFFFF	230.172413793103	37.5	15
#000000	#FFFFFF	237.931034482759	62.5	15
#000000	#FFFFFF	245.689655172414	37.5	15
#000000	#FFFFFF	230.172413793103	37.5	15
#000000	#FFFFFF	230.172413793103	104.166666666667	16
#000000	#FFFFFF	237.931034482759	129.166666666667	16
#000000	#FFFFFF	245.689655172414	104.166666666667	16
#000000	#FFFFFF	230.172413793103	104.166666666667	16
#000000	#FFFFFF	230.172413793103	170.833333333333	17
#000000	#FFFFFF	237.931034482759	195.833333333333	17
#000000	#FFFFFF	245.689655172414	170.833333333333	17
#000000	#FFFFFF	230.172413793103	170.833333333333	17
#000000	#FFFFFF	230.172413793103	237.5	18
#000000	#FFFFFF	237.931034482759	262.5	18
#000000	#FFFFFF	245.689655172414	237.5	18
#000000	#FFFFFF	230.172413793103	237.5	18
#000000	#FFFFFF	230.172413793103	304.166666666667	13
#000000	#FFFFFF	237.931034482759	329.166666666667	13
#000000	#FFFFFF	245.689655172414	304.166666666667	13
#000000	#FFFFFF	230.172413793103	304.166666666667	13
#000000	#FFFFFF	230.172413793103	370.833333333333	14
#000000	#FFFFFF	237.931034482759	395.833333333333	14
#000000	#FFFFFF	245.689655172414	370.833333333333	14
#000000	#FFFFFF	230.172413793103	370.833333333333	14
#000000	#FFFFFF	250.862068965517	4.16666666666667	19
#000000	#FFFFFF	258.620689655172	29.1666666666667	19
#000000	#FFFFFF	266.379310344828	4.16666666666667	19
#000000	#FFFFFF	250.862068965517	4.16666666666667	19
#000000	#FFFFFF	250.862068965517	70.8333333333333	22
#000000	#FFFFFF	258.620689655172	95.8333333333333	22
#000000	#FFFFFF	266.379310344828	70.8333333333333	22
#000000	#FFFFFF	250.862068965517	70.8333333333333	22
#000000	#FFFFFF	250.862068965517	137.5	23
#000000	#FFFFFF	258.620689655172	162.5	23
#000000	#FFFFFF	266.379310344828	137.5	23
#000000	#FFFFFF	250.862068965517	137.5	23
#000000	#FFFFFF	250.862068965517	204.166666666667	24
#000000	#FFFFFF	258.620689655172	229.166666666667	24
#000000	#FFFFFF	266.379310344828	204.166666666667	24
#000000	#FFFFFF	250.862068965517	204.166666666667	24
#000000	#FFFFFF	250.862068965517	270.833333333333	25
#000000	#FFFFFF	258.620689655172	295.833333333333	25
#000000	#FFFFFF	266.379310344828	270.833333333333	25
#000000	#FFFFFF	250.862068965517	270.833333333333	25
#000000	#FFFFFF	250.862068965517	337.5	20
#000000	#FFFFFF	258.620689655172	362.5	20
#000000	#FFFFFF	266.379310344828	337.5	20
#000000	#FFFFFF	250.862068965517	337.5	20
#000000	#FFFFFF	250.862068965517	404.166666666667	21
#000000	#FFFFFF	258.620689655172	429.166666666667	21
#000000	#FFFFFF	266.379310344828	404.166666666667	21
#000000	#FFFFFF	250.862068965517	404.166666666667	21
#000000	#FFFFFF	271.551724137931	37.5	29
#000000	#FFFFFF	279.310344827586	62.5	29
#000000	#FFFFFF	287.068965517241	37.5	29
#000000	#FFFFFF	271.551724137931	37.5	29
#000000	#FFFFFF	271.551724137931	104.166666666667	30
#000000	#FFFFFF	279.310344827586	129.166666666667	30
#000000	#FFFFFF	287.068965517241	104.166666666667	30
#000000	#FFFFFF	271.551724137931	104.166666666667	30
#000000	#FFFFFF	271.551724137931	170.833333333333	31
#000000	#FFFFFF	279.310344827586	195.833333333333	31
#000000	#FFFFFF	287.068965517241	170.833333333333	31
